"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.988250860E-1,1.690238714E-2,-1.634597778E-2,7.890701294E-2,8.233588751E-2
4.037994510E-1,-2.009539679E-2,1.185417175E-2,6.767320633E-2,7.158218504E-2
4.087738160E-1,-1.207836717E-2,-1.871776581E-2,7.904529572E-3,2.363732849E-2
4.137481810E-1,-8.855938911E-3,-2.999973297E-2,6.584215164E-2,7.289444811E-2
4.187225470E-1,-1.081153750E-3,-1.312732697E-2,4.335451126E-2,4.531124864E-2
4.236969120E-1,-4.477642477E-2,3.368663788E-2,4.701757431E-2,7.314622397E-2
4.287017950E-1,-5.981110036E-3,-1.600170135E-2,7.162761688E-2,7.363656445E-2
4.336761600E-1,-7.643830031E-3,-5.770778656E-2,4.211044312E-2,7.184640691E-2
4.386505250E-1,-2.328749001E-2,-1.233100891E-2,5.514049530E-2,6.111329801E-2
4.436248900E-1,1.039902493E-2,-2.385711670E-2,8.894062042E-2,9.267003668E-2
4.486602910E-1,-4.061138630E-2,-3.050327301E-2,5.208539963E-2,7.275041729E-2
4.535736210E-1,-2.295412123E-2,-1.134300232E-2,1.828336716E-2,3.146167347E-2
4.585479860E-1,-1.955321431E-2,-8.915901184E-3,5.984830856E-2,6.358963376E-2
4.635223510E-1,-2.153383568E-3,-2.529239655E-2,7.489490509E-2,7.907963829E-2
4.685272340E-1,-6.107006222E-3,-2.973651886E-2,8.730745316E-2,9.243455769E-2
4.735015990E-1,-7.639035583E-3,-1.389503479E-3,-1.508522034E-2,1.696612676E-2
4.784759640E-1,7.253503427E-3,-1.799869537E-2,1.224517822E-3,1.944391398E-2
4.834503300E-1,-2.725017816E-2,-3.901195526E-2,1.491832733E-2,4.987044569E-2
4.884246950E-1,-1.907928288E-2,-2.223491669E-2,1.641483307E-1,1.667425711E-1
4.933990600E-1,7.683129981E-3,-5.719184875E-3,5.579566956E-2,5.661180357E-2
4.983734250E-1,-2.683048695E-2,-5.732917786E-2,8.043241501E-2,1.023517613E-1
5.033783080E-1,-2.326118201E-2,-7.385253906E-3,2.975988388E-2,3.848733886E-2
5.083526730E-1,-2.446452901E-2,1.904487610E-3,2.904415131E-2,3.802240100E-2
5.133270390E-1,-1.630554162E-2,-1.941680908E-2,1.103777885E-1,1.132525468E-1
5.183014040E-1,-7.391458750E-2,-3.569126129E-2,1.014723778E-1,1.305138913E-1
5.232757690E-1,-1.812832244E-2,2.328395844E-2,4.345607758E-2,5.252817790E-2
5.282806520E-1,-2.412143536E-2,-2.649021149E-2,5.900764465E-2,6.903243496E-2
5.332550170E-1,-3.243403137E-2,1.885414124E-3,6.968116760E-2,7.688293891E-2
5.382293820E-1,-7.836059667E-3,2.516365051E-2,1.921176910E-2,3.261449387E-2
5.431732300E-1,-5.394536257E-2,-3.167247772E-2,7.741308212E-2,9.952905742E-2
5.481475950E-1,-3.599265218E-2,-7.917404175E-3,1.277780533E-1,1.329864174E-1
5.531524780E-1,-4.644133523E-2,-2.905845642E-2,9.300804138E-2,1.079429816E-1
5.581268430E-1,-2.619071491E-2,-1.232719421E-2,5.170679092E-2,5.925795721E-2
5.631012090E-1,3.230180591E-3,-9.952545166E-3,4.379606247E-2,4.502868319E-2
5.680755740E-1,-4.287980869E-2,4.115104675E-3,7.355690002E-2,8.524218217E-2
5.730499390E-1,-1.087178849E-2,-2.428913116E-2,1.546320915E-1,1.569051988E-1
5.780548220E-1,-5.451663211E-2,-6.179809570E-4,4.907941818E-2,7.335689720E-2
5.830291870E-1,-5.064373091E-2,-7.798194885E-3,6.003379822E-2,7.892817147E-2
5.880035520E-1,-3.741939366E-2,-3.156661987E-3,7.318639755E-2,8.225827815E-2
5.930084350E-1,-2.433356643E-2,-5.499744415E-2,4.621982574E-2,7.584928220E-2
5.979828000E-1,-2.549913339E-2,-1.214027405E-2,8.075046539E-2,8.554665230E-2
