"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.936158290E-1,2.782390118E-1,-2.699089050E-2,-3.817510605E-2
3.985901940E-1,2.507402301E-1,-7.377243042E-2,5.131912231E-2
4.035645590E-1,2.336115241E-1,-1.097393036E-2,6.880950928E-2
4.085389240E-1,2.081173658E-1,-4.469394684E-2,-9.852266312E-2
4.135132900E-1,1.744735241E-1,-4.509735107E-2,-2.215003967E-1
4.184876550E-1,1.028422117E-1,-8.475112915E-2,-1.724452972E-1
4.234620200E-1,1.674704552E-1,-7.816314697E-3,-6.264114380E-2
4.284363850E-1,8.235046268E-2,-2.568054199E-2,-8.795976639E-2
4.334107500E-1,8.286723495E-2,-4.322528839E-2,-1.544995308E-1
4.383851160E-1,1.459473372E-1,-3.263282776E-2,-8.515405655E-2
4.433594810E-1,1.311492026E-1,-9.191131592E-2,-8.496904373E-2
4.483338460E-1,1.610686481E-1,-8.020973206E-2,-1.452350616E-1
4.533387290E-1,1.508764625E-1,-4.572296143E-2,-1.508111954E-1
4.583436120E-1,1.014891565E-1,1.798629761E-2,-1.982698441E-1
4.632569420E-1,1.323202848E-1,-5.237293243E-2,-1.867675781E-1
4.682618250E-1,1.437951922E-1,-2.586364746E-2,-1.943149567E-1
4.732361900E-1,7.366105914E-2,-2.086925507E-2,-3.273663521E-1
4.782105550E-1,2.079085708E-1,-1.824855804E-2,-2.853183746E-1
4.831849200E-1,1.694677770E-1,-3.203296661E-2,-2.083444595E-2
4.881592860E-1,8.007344604E-2,-2.709102631E-2,-8.137130737E-2
4.931336510E-1,3.151357174E-2,-5.969047546E-2,-3.109655380E-1
4.981080160E-1,-4.396262765E-2,-6.596469879E-2,-2.374978065E-1
5.031434160E-1,9.034237266E-2,4.231166840E-2,-3.730616570E-1
5.080567470E-1,8.721718192E-2,6.188392639E-3,-2.493591309E-1
5.130311120E-1,7.935106754E-2,1.501560211E-2,-2.963466644E-1
5.180054770E-1,5.707073212E-2,-1.148509979E-2,-4.244418144E-1
5.229798420E-1,-5.381050706E-2,1.148796082E-2,-2.747163773E-1
5.279542070E-1,-5.248606205E-2,-1.263427734E-2,-2.188949585E-1
5.329590900E-1,-8.342939615E-2,-1.984882355E-2,-2.809143066E-1
5.379334560E-1,1.501825452E-2,-3.455162048E-3,-3.722195625E-1
5.429078210E-1,-9.405210614E-2,-7.625579834E-2,-3.053531647E-1
5.478821860E-1,-5.861780047E-2,2.052116394E-2,-3.100547791E-1
5.528565510E-1,-1.443207264E-2,-4.115295410E-2,-2.164788246E-1
5.578003990E-1,-1.202374697E-3,2.000522614E-2,-1.384506226E-1
5.627747640E-1,9.161269665E-2,2.871608734E-2,-1.998310089E-1
5.677491290E-1,-2.554634213E-2,-3.994846344E-2,-1.454238892E-1
5.727234950E-1,9.078112245E-2,-1.386165619E-2,-5.678939819E-2
5.776978600E-1,-1.113775074E-1,-4.921531677E-2,-1.665167809E-1
5.826722250E-1,-1.001030207E-3,-6.524944305E-2,-2.042417526E-1
5.876465900E-1,1.269794405E-1,-1.212120056E-3,-1.428365707E-1
5.926209560E-1,9.760916233E-3,-3.178882599E-2,-7.283258438E-2
5.976258380E-1,2.575123310E-2,2.966308594E-2,-1.046071053E-1
6.026002040E-1,6.078213453E-3,-5.991935730E-3,2.122592926E-2
6.075745690E-1,5.266040564E-3,-6.077766418E-3,9.012699127E-3
6.125184160E-1,9.620982409E-2,-2.030277252E-2,6.026840210E-2
6.175232990E-1,1.559506357E-1,-8.411407471E-3,1.320629120E-1
6.224976650E-1,2.246193290E-1,1.515769958E-2,1.513624191E-1
6.274720300E-1,2.405588925E-1,-3.911018372E-2,9.995555878E-2
6.324769130E-1,1.996654868E-1,-1.527118683E-2,1.595115662E-1
6.374512780E-1,1.310020685E-1,-5.061626434E-2,2.674951553E-1
6.424256430E-1,1.948185265E-1,-4.560756683E-2,3.106446266E-1
6.474000080E-1,1.568985581E-1,-6.761550903E-4,3.157405853E-1
6.523743730E-1,1.972271502E-1,-2.911567688E-2,2.668271065E-1
6.573487390E-1,3.430817425E-1,-5.447387695E-3,1.645278931E-1
6.623231040E-1,3.487300277E-1,-7.931709290E-3,2.327890396E-1
6.672974690E-1,3.615471423E-1,-1.987171173E-2,4.318523407E-1
6.722718340E-1,3.576065600E-1,1.521110535E-2,3.485240936E-1
6.772462000E-1,3.534762561E-1,3.461837769E-4,3.742723465E-1
6.822510820E-1,2.482488751E-1,1.855087280E-2,3.267869949E-1
6.872254480E-1,3.044618964E-1,-5.519580841E-2,2.822651863E-1
6.921692950E-1,2.968503237E-1,-3.868198395E-2,3.371176720E-1
6.971741780E-1,1.882574856E-1,-4.590225220E-2,3.396029472E-1
7.021485430E-1,3.206773102E-1,-4.369068146E-2,3.185033798E-1
7.071229090E-1,3.338069916E-1,-1.567268372E-2,3.235011101E-1
7.120972740E-1,3.259855509E-1,7.390975952E-3,3.732819557E-1
7.170716390E-1,3.586537540E-1,-3.252029419E-4,2.931466103E-1
7.220460040E-1,3.956861198E-1,-3.386497498E-2,3.575572968E-1
7.270203700E-1,3.332945704E-1,5.061531067E-2,3.222908974E-1
7.319947350E-1,3.233473897E-1,-2.842712402E-2,3.202624321E-1
7.369691000E-1,2.618109286E-1,-7.369232178E-2,3.276872635E-1
7.419434650E-1,2.882882655E-1,-4.306793213E-2,3.091988564E-1
7.469178310E-1,2.180482149E-1,-4.572486877E-2,3.168716431E-1
7.518921960E-1,2.663779855E-1,-2.714824677E-2,3.551378250E-1
7.568665610E-1,2.764794827E-1,-6.058597565E-2,3.435974121E-1
7.618409260E-1,2.346795797E-1,-3.232002258E-2,3.464732170E-1
7.668152910E-1,3.231908083E-1,-5.137538910E-2,3.164734840E-1
7.717896570E-1,2.578136325E-1,-2.541923523E-2,3.764228821E-1
7.767945400E-1,2.495573163E-1,-1.386165619E-2,3.462438583E-1
7.817689050E-1,1.562958956E-1,-1.659488678E-2,3.446412086E-1
7.867432700E-1,1.486923099E-1,-3.584766388E-2,1.001539230E-1
7.917176350E-1,1.248070598E-1,-5.492496490E-2,2.423424721E-1
7.966920000E-1,1.462917030E-1,-1.479053497E-2,2.371068001E-1
8.016663660E-1,2.078959644E-1,-2.210044861E-2,2.013926506E-1
8.067017660E-1,2.571336329E-1,-2.933025360E-2,2.603960037E-1
8.116150960E-1,1.099115312E-1,-7.431030273E-2,3.329706192E-1
8.165894610E-1,1.785887480E-1,-4.580211639E-2,2.491641045E-1
8.215638270E-1,1.571286321E-1,-1.273155212E-2,1.921882629E-1
8.265381920E-1,1.951158643E-1,-8.364009857E-2,2.066783905E-1
8.315125570E-1,3.438228071E-1,-4.535293579E-2,3.060569763E-1
8.364869220E-1,1.961494982E-1,-2.865600586E-2,1.969075203E-1
8.414612880E-1,5.657750368E-2,-6.874370575E-2,2.869677544E-1
8.464356530E-1,1.092663705E-1,-7.779312134E-2,2.276201248E-1
8.514100180E-1,5.557957292E-2,-2.055931091E-2,1.878104210E-1
8.563843830E-1,1.704086065E-1,-3.674221039E-2,2.430481911E-1
8.613892660E-1,1.569928229E-1,-4.318904877E-2,2.531766891E-1
8.663636310E-1,9.158399701E-2,-8.262920380E-2,1.097903252E-1
8.713379970E-1,4.769617319E-2,-9.345340729E-2,1.611237526E-1
8.763123620E-1,5.131426454E-2,-5.933761597E-2,1.955065727E-1
8.812867270E-1,3.147393465E-3,-3.723239899E-2,3.052339554E-1
8.862610920E-1,1.609483361E-1,-1.993656158E-2,1.356172562E-1
8.912354570E-1,5.785170197E-2,6.696701050E-3,1.563048363E-1
8.962098230E-1,1.230626702E-1,-2.120304108E-2,1.508350372E-1
