"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","Nexus 5"
"deviceBrand","google"
"deviceBoard","hammerhead"
"deviceManufacturer","LGE"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","7.1.2"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","MPU6515 Accelerometer"
"accelerometer Vendor","InvenSense"
"accelerometer Range","19.613297"
"accelerometer Resolution","5.950928E-4"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.4"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","19.613297"
"linear_acceleration Resolution","5.950928E-4"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","2147483647"
"linear_acceleration Power","3.5999908"
"linear_acceleration Version","0"
"gravity Name","Gravity"
"gravity Vendor","QTI"
"gravity Range","19.613297"
"gravity Resolution","5.950928E-4"
"gravity MinDelay","5000"
"gravity MaxDelay","2147483647"
"gravity Power","3.5999908"
"gravity Version","0"
"gyroscope Name","MPU6515 Gyroscope"
"gyroscope Vendor","InvenSense"
"gyroscope Range","34.906586"
"gyroscope Resolution","0.0010681152"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","3.2"
"gyroscope Version","1"
"magnetic_field Name","AK8963 Magnetometer Calibration Lib"
"magnetic_field Vendor","AKM"
"magnetic_field Range","4911.9995"
"magnetic_field Resolution","0.14953613"
"magnetic_field MinDelay","20000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","5.0"
"magnetic_field Version","1"
"pressure Name","BMP280 Barometer"
"pressure Vendor","BOSCH"
"pressure Range","1100.0"
"pressure Resolution","0.009994507"
"pressure MinDelay","33333"
"pressure MaxDelay","1000000"
"pressure Power","0.004"
"pressure Version","1"
"light Name","null"
"light Vendor","null"
"light Range","null"
"light Resolution","null"
"light MinDelay","null"
"light MaxDelay","null"
"light Power","null"
"light Version","null"
"proximity Name","PROXIMITY"
"proximity Vendor","QTI"
"proximity Range","5.0"
"proximity Resolution","0.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.1"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","2147483647"
"attitude Power","8.599991"
"attitude Version","0"
