"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.423315600E-2,-7.062072754E-1,9.613388062E0,-8.660400391E0
4.926855600E-2,-6.821289062E-1,9.657211304E0,-8.666427612E0
5.430395700E-2,-7.466735840E-1,9.623840332E0,-8.646636963E0
5.933935700E-2,-7.647247314E-1,9.633117676E0,-8.583175659E0
6.437475700E-2,-7.701416016E-1,9.636215210E0,-8.552139282E0
6.941015800E-2,-8.063812256E-1,9.622909546E0,-8.654998779E0
7.444555800E-2,-7.933044434E-1,9.645339966E0,-8.671066284E0
7.948095900E-2,-7.721862793E-1,9.651321411E0,-8.616363525E0
8.451635900E-2,-7.759246826E-1,9.647323608E0,-8.622055054E0
8.955175900E-2,-7.740173340E-1,9.645370483E0,-8.560241699E0
9.458716000E-2,-7.910461426E-1,9.620407104E0,-8.533248901E0
9.962256000E-2,-7.887725830E-1,9.642089844E0,-8.575790405E0
1.046579610E-1,-7.621612549E-1,9.604080200E0,-8.577362061E0
1.096933610E-1,-7.644500732E-1,9.646957397E0,-8.612899780E0
1.147287610E-1,-7.853851318E-1,9.654083252E0,-8.560821533E0
1.197641620E-1,-8.258972168E-1,9.629974365E0,-8.539413452E0
1.247995620E-1,-8.008575439E-1,9.622985840E0,-8.538253784E0
1.298349620E-1,-7.372283936E-1,9.607543945E0,-8.573913574E0
1.348703630E-1,-7.000579834E-1,9.646545410E0,-8.588317871E0
1.399057630E-1,-7.375183105E-1,9.643341064E0,-8.555923462E0
1.449411640E-1,-7.183380127E-1,9.604888916E0,-8.499237061E0
1.499765640E-1,-7.947235107E-1,9.619873047E0,-8.447402954E0
1.550119640E-1,-7.980499268E-1,9.622848511E0,-8.447372437E0
1.600473650E-1,-7.907257080E-1,9.587646484E0,-8.505599976E0
1.650827650E-1,-7.709808350E-1,9.601959229E0,-8.578002930E0
1.701181660E-1,-6.990814209E-1,9.655487061E0,-8.595550537E0
1.751535660E-1,-6.853179932E-1,9.626922607E0,-8.582748413E0
1.801889660E-1,-7.432098389E-1,9.641082764E0,-8.513214111E0
1.852243670E-1,-7.482757568E-1,9.647338867E0,-8.542739868E0
1.902597670E-1,-7.837219238E-1,9.598892212E0,-8.512390137E0
1.952951680E-1,-7.567749023E-1,9.611877441E0,-8.532089233E0
2.003305680E-1,-7.321166992E-1,9.622955322E0,-8.558807373E0
2.053659680E-1,-7.488403320E-1,9.621231079E0,-8.606048584E0
2.104013690E-1,-7.875976562E-1,9.598632812E0,-8.630523682E0
2.154367690E-1,-7.763977051E-1,9.616287231E0,-8.640731812E0
2.204721690E-1,-7.619628906E-1,9.637237549E0,-8.569656372E0
2.255075700E-1,-7.526397705E-1,9.613082886E0,-8.522933960E0
2.305429700E-1,-7.474212646E-1,9.600784302E0,-8.507354736E0
2.355783710E-1,-7.517242432E-1,9.616699219E0,-8.550537109E0
2.406137710E-1,-7.566986084E-1,9.631118774E0,-8.567138672E0
2.456491710E-1,-7.214050293E-1,9.646423340E0,-8.490798950E0
2.506845720E-1,-7.392272949E-1,9.644241333E0,-8.467803955E0
2.557199720E-1,-7.592773438E-1,9.635360718E0,-8.497314453E0
2.607553730E-1,-7.131652832E-1,9.634536743E0,-8.547012329E0
2.657907730E-1,-6.775817871E-1,9.625930786E0,-8.518997192E0
2.708261730E-1,-6.513214111E-1,9.623626709E0,-8.500381470E0
2.758615740E-1,-6.526641846E-1,9.620635986E0,-8.497467041E0
2.808969740E-1,-6.462249756E-1,9.647064209E0,-8.465728760E0
2.859323750E-1,-6.493377686E-1,9.635009766E0,-8.427124023E0
2.909677750E-1,-6.431884766E-1,9.640991211E0,-8.459854126E0
2.960031750E-1,-6.137542725E-1,9.660308838E0,-8.461502075E0
3.010385760E-1,-6.166687012E-1,9.639160156E0,-8.501892090E0
3.060739760E-1,-6.501617432E-1,9.624420166E0,-8.541122437E0
3.111093770E-1,-6.355743408E-1,9.648498535E0,-8.507446289E0
3.161447770E-1,-6.002960205E-1,9.673385620E0,-8.513473511E0
3.211801770E-1,-5.928192139E-1,9.663024902E0,-8.509765625E0
3.262155780E-1,-5.796661377E-1,9.653244019E0,-8.491897583E0
3.312509780E-1,-5.599060059E-1,9.659164429E0,-8.497833252E0
3.362863780E-1,-5.544738770E-1,9.666564941E0,-8.496093750E0
3.413217790E-1,-5.678100586E-1,9.649597168E0,-8.498245239E0
3.463571790E-1,-5.713958740E-1,9.647720337E0,-8.545776367E0
3.513925800E-1,-5.735015869E-1,9.663101196E0,-8.526397705E0
3.564279800E-1,-5.989379883E-1,9.660491943E0,-8.455490112E0
3.614633800E-1,-5.861358643E-1,9.653732300E0,-8.492279053E0
3.664987810E-1,-5.626373291E-1,9.648925781E0,-8.491088867E0
3.715341810E-1,-5.275878906E-1,9.619201660E0,-8.469314575E0
3.765695820E-1,-4.882202148E-1,9.616638184E0,-8.489822388E0
3.816049820E-1,-5.094146729E-1,9.640579224E0,-8.454269409E0
3.866403820E-1,-5.516662598E-1,9.626663208E0,-8.432907104E0
3.916757830E-1,-5.630645752E-1,9.641418457E0,-8.428649902E0
3.967111830E-1,-5.450286865E-1,9.653457642E0,-8.438507080E0
4.017465840E-1,-5.297088623E-1,9.666061401E0,-8.464859009E0
4.067819840E-1,-5.105438232E-1,9.657272339E0,-8.439315796E0
4.118173840E-1,-5.448608398E-1,9.649444580E0,-8.439895630E0
4.168527850E-1,-5.464477539E-1,9.623031616E0,-8.380599976E0
4.218881850E-1,-5.701293945E-1,9.628036499E0,-8.323944092E0
4.269235860E-1,-5.314483643E-1,9.626739502E0,-8.430419922E0
4.319589860E-1,-4.963531494E-1,9.643508911E0,-8.462310791E0
4.369943860E-1,-5.200347900E-1,9.617431641E0,-8.458831787E0
4.420297870E-1,-5.663146973E-1,9.612976074E0,-8.458404541E0
4.470651870E-1,-5.186767578E-1,9.655075073E0,-8.466629028E0
4.521005870E-1,-5.122222900E-1,9.659561157E0,-8.426834106E0
4.571359880E-1,-5.043182373E-1,9.642089844E0,-8.428848267E0
4.621713880E-1,-5.807952881E-1,9.648513794E0,-8.390075684E0
4.672067890E-1,-5.735321045E-1,9.633270264E0,-8.386108398E0
4.722421890E-1,-5.739593506E-1,9.611160278E0,-8.424316406E0
4.772775890E-1,-4.929656982E-1,9.657852173E0,-8.452957153E0
4.823129900E-1,-4.851684570E-1,9.682357788E0,-8.379226685E0
4.873483900E-1,-5.175628662E-1,9.656005859E0,-8.408737183E0
4.923837910E-1,-5.065002441E-1,9.659240723E0,-8.427520752E0
4.974191910E-1,-5.342864990E-1,9.651473999E0,-8.421310425E0
5.024545910E-1,-6.048126221E-1,9.637435913E0,-8.445693970E0
5.074899920E-1,-5.783996582E-1,9.683868408E0,-8.474990845E0
5.125253920E-1,-5.901641846E-1,9.634979248E0,-8.456680298E0
5.175607930E-1,-5.601806641E-1,9.654495239E0,-8.366439819E0
5.225961930E-1,-5.571594238E-1,9.642349243E0,-8.388320923E0
5.276315930E-1,-5.826873779E-1,9.652526855E0,-8.382980347E0
5.326669940E-1,-5.796203613E-1,9.632873535E0,-8.396530151E0
5.377023940E-1,-5.509490967E-1,9.675506592E0,-8.458404541E0
5.427377940E-1,-5.717315674E-1,9.617660522E0,-8.419494629E0
5.477731950E-1,-5.719299316E-1,9.613540649E0,-8.430252075E0
5.528085950E-1,-6.205749512E-1,9.618164062E0,-8.429367065E0
5.578439960E-1,-6.285705566E-1,9.643081665E0,-8.435913086E0
5.628793960E-1,-5.883789062E-1,9.651428223E0,-8.420593262E0
5.679147960E-1,-5.609588623E-1,9.663208008E0,-8.408294678E0
5.729501970E-1,-5.919494629E-1,9.613265991E0,-8.416961670E0
5.779855970E-1,-6.024475098E-1,9.627609253E0,-8.382476807E0
5.830209980E-1,-5.793151855E-1,9.658386230E0,-8.358230591E0
5.880563980E-1,-6.214599609E-1,9.661331177E0,-8.407470703E0
5.930917980E-1,-6.098175049E-1,9.663726807E0,-8.436355591E0
5.981271990E-1,-6.313629150E-1,9.619094849E0,-8.356079102E0
6.031625990E-1,-6.398925781E-1,9.667861938E0,-8.410430908E0
6.081980000E-1,-5.924377441E-1,9.634796143E0,-8.423797607E0
6.132334000E-1,-5.700531006E-1,9.624130249E0,-8.402496338E0
6.182688000E-1,-5.907592773E-1,9.647262573E0,-8.388839722E0
6.233042010E-1,-6.423645020E-1,9.651428223E0,-8.396377563E0
6.283396010E-1,-6.245574951E-1,9.643402100E0,-8.478836060E0
6.333750020E-1,-5.713958740E-1,9.625289917E0,-8.380203247E0
6.384104020E-1,-6.515502930E-1,9.624664307E0,-8.451309204E0
6.434458020E-1,-5.890808105E-1,9.662170410E0,-8.432235718E0
6.484812030E-1,-6.424560547E-1,9.603424072E0,-8.432891846E0
6.535166030E-1,-6.284332275E-1,9.638610840E0,-8.395416260E0
6.585520030E-1,-5.669708252E-1,9.627731323E0,-8.513290405E0
6.635874040E-1,-5.722351074E-1,9.621246338E0,-8.405776978E0
6.686228040E-1,-6.047210693E-1,9.595993042E0,-8.378295898E0
6.736582050E-1,-5.697174072E-1,9.639862061E0,-8.411422729E0
6.786936050E-1,-5.541839600E-1,9.665573120E0,-8.455276489E0
6.837290050E-1,-5.417327881E-1,9.651336670E0,-8.416442871E0
6.887644060E-1,-5.729522705E-1,9.660125732E0,-8.421600342E0
6.937998060E-1,-5.759124756E-1,9.645309448E0,-8.407791138E0
6.988352070E-1,-5.680694580E-1,9.609603882E0,-8.421737671E0
7.038706070E-1,-5.852661133E-1,9.629989624E0,-8.486221313E0
7.089060070E-1,-5.522155762E-1,9.619934082E0,-8.485626221E0
7.139414080E-1,-5.467529297E-1,9.626144409E0,-8.419464111E0
7.189768080E-1,-5.257720947E-1,9.628021240E0,-8.462005615E0
7.240122090E-1,-5.023651123E-1,9.629119873E0,-8.466217041E0
7.290476090E-1,-5.363616943E-1,9.639038086E0,-8.481781006E0
7.340830090E-1,-5.826416016E-1,9.643081665E0,-8.474349976E0
7.391184100E-1,-5.336761475E-1,9.599975586E0,-8.472351074E0
7.441538100E-1,-5.064239502E-1,9.617996216E0,-8.406295776E0
7.491892110E-1,-4.797363281E-1,9.629791260E0,-8.440353394E0
7.542246110E-1,-5.581359863E-1,9.646377563E0,-8.477966309E0
7.592600110E-1,-5.695953369E-1,9.634231567E0,-8.477798462E0
7.642954120E-1,-5.709838867E-1,9.613983154E0,-8.519851685E0
7.693308120E-1,-5.304718018E-1,9.629333496E0,-8.453063965E0
7.743662120E-1,-5.527954102E-1,9.640579224E0,-8.431381226E0
7.794016130E-1,-5.534210205E-1,9.643142700E0,-8.456787109E0
7.844370130E-1,-5.542144775E-1,9.640747070E0,-8.512664795E0
7.894724140E-1,-5.418243408E-1,9.653457642E0,-8.541320801E0
7.945078140E-1,-5.625152588E-1,9.653213501E0,-8.506225586E0
7.995432140E-1,-5.631256104E-1,9.636718750E0,-8.503448486E0
8.045786150E-1,-5.806884766E-1,9.618499756E0,-8.487884521E0
8.096140150E-1,-6.215209961E-1,9.606719971E0,-8.478057861E0
8.146494160E-1,-5.812072754E-1,9.621917725E0,-8.506256104E0
8.196848160E-1,-5.702667236E-1,9.667083740E0,-8.531585693E0
8.247202160E-1,-6.058807373E-1,9.656158447E0,-8.530975342E0
8.297556170E-1,-6.211090088E-1,9.644943237E0,-8.501525879E0
8.347910170E-1,-6.353607178E-1,9.626647949E0,-8.492233276E0
8.398264180E-1,-6.326446533E-1,9.630096436E0,-8.563385010E0
8.448618180E-1,-6.277770996E-1,9.640243530E0,-8.560699463E0
8.498972180E-1,-6.559143066E-1,9.651596069E0,-8.540222168E0
8.549326190E-1,-6.433410645E-1,9.655288696E0,-8.506668091E0
8.599680190E-1,-6.094818115E-1,9.654342651E0,-8.515441895E0
8.650034190E-1,-6.094360352E-1,9.622207642E0,-8.493774414E0
8.700388200E-1,-6.479034424E-1,9.627090454E0,-8.480987549E0
8.750742200E-1,-6.502685547E-1,9.651992798E0,-8.495971680E0
8.801096210E-1,-6.706390381E-1,9.627960205E0,-8.510284424E0
8.851450210E-1,-6.737518311E-1,9.628250122E0,-8.526626587E0
8.901804210E-1,-6.573333740E-1,9.638778687E0,-8.543243408E0
8.952158220E-1,-6.702117920E-1,9.637390137E0,-8.548477173E0
9.002512220E-1,-6.887512207E-1,9.614593506E0,-8.519805908E0
9.052866230E-1,-7.009735107E-1,9.637557983E0,-8.526046753E0
9.103220230E-1,-7.166595459E-1,9.666900635E0,-8.550323486E0
9.153574230E-1,-7.106475830E-1,9.642227173E0,-8.584609985E0
9.203928240E-1,-7.084655762E-1,9.633819580E0,-8.573974609E0
9.254282240E-1,-7.228851318E-1,9.619110107E0,-8.529800415E0
9.304636250E-1,-6.950531006E-1,9.621109009E0,-8.524749756E0
9.354990250E-1,-6.874542236E-1,9.618469238E0,-8.561614990E0
9.405344250E-1,-6.804809570E-1,9.614776611E0,-8.593154907E0
9.455698260E-1,-6.826019287E-1,9.618499756E0,-8.560775757E0
9.506052260E-1,-7.131805420E-1,9.636428833E0,-8.555755615E0
9.556406270E-1,-7.127990723E-1,9.650100708E0,-8.550567627E0
9.606760270E-1,-7.127380371E-1,9.644119263E0,-8.534927368E0
9.657114270E-1,-7.091217041E-1,9.652420044E0,-8.569061279E0
9.707468280E-1,-7.350921631E-1,9.616241455E0,-8.549133301E0
9.757822280E-1,-7.231292725E-1,9.618637085E0,-8.535568237E0
9.808176280E-1,-7.114257812E-1,9.638504028E0,-8.527359009E0
9.858530290E-1,-6.908569336E-1,9.639022827E0,-8.571243286E0
9.908884290E-1,-6.928863525E-1,9.604232788E0,-8.623413086E0
9.959238300E-1,-6.827392578E-1,9.606765747E0,-8.605987549E0
1.000959230E0,-7.191925049E-1,9.629104614E0,-8.613952637E0
1.005994630E0,-6.979827881E-1,9.659332275E0,-8.549468994E0
