"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.765695820E-1,-6.072998047E-3,-9.002685547E-3,5.981445312E-3
3.816049820E-1,-4.074096680E-3,-1.181030273E-2,5.432128906E-3
3.866403820E-1,-3.555297852E-3,-9.597778320E-3,5.828857422E-3
3.916757830E-1,-5.325317383E-3,-2.151489258E-3,5.828857422E-3
3.967111830E-1,-6.072998047E-3,2.273559570E-3,5.828857422E-3
4.017465840E-1,-3.952026367E-3,-3.372192383E-3,6.546020508E-3
4.067819840E-1,-2.166748047E-3,-9.460449219E-3,6.896972656E-3
4.118173840E-1,-3.997802734E-3,-5.050659180E-3,6.179809570E-3
4.168527850E-1,-6.500244141E-3,5.813598633E-3,5.096435547E-3
4.218881850E-1,-7.904052734E-3,1.017761230E-2,4.013061523E-3
4.269235860E-1,-6.698608398E-3,3.692626953E-3,3.692626953E-3
4.319589860E-1,-4.562377930E-3,-2.151489258E-3,2.944946289E-3
4.369943860E-1,-5.493164062E-3,-2.624511719E-3,1.861572266E-3
4.420297870E-1,-6.072998047E-3,1.602172852E-3,2.349853516E-3
4.470651870E-1,-5.279541016E-3,3.021240234E-3,2.624511719E-3
4.521005870E-1,-4.211425781E-3,1.419067383E-3,3.433227539E-3
4.571359880E-1,-3.128051758E-3,6.103515625E-5,3.692626953E-3
4.621713880E-1,-2.868652344E-3,2.273559570E-3,2.883911133E-3
4.672067890E-1,-2.868652344E-3,1.342773438E-3,2.624511719E-3
4.722421890E-1,-2.029418945E-3,-2.487182617E-3,4.318237305E-3
4.772775890E-1,-2.655029297E-3,-8.392333984E-4,5.615234375E-3
4.823129900E-1,-2.868652344E-3,3.250122070E-3,5.828857422E-3
4.873483900E-1,-2.868652344E-3,6.698608398E-3,4.959106445E-3
4.923837910E-1,-1.998901367E-3,4.653930664E-3,3.890991211E-3
4.974191910E-1,-1.800537109E-3,-1.235961914E-3,3.692626953E-3
5.024545910E-1,-9.155273438E-4,-2.319335938E-3,4.592895508E-3
5.074899920E-1,-2.563476562E-3,1.312255859E-3,5.676269531E-3
5.125253920E-1,-1.953125000E-3,1.953125000E-3,3.997802734E-3
5.175607930E-1,-8.850097656E-4,2.868652344E-3,9.307861328E-4
5.225961930E-1,1.983642578E-4,2.075195312E-3,4.882812500E-4
5.276315930E-1,3.356933594E-4,1.953125000E-3,4.882812500E-4
5.326669940E-1,2.243041992E-3,3.051757812E-5,-4.577636719E-4
5.377023940E-1,2.471923828E-3,-2.120971680E-3,1.358032227E-3
5.427377940E-1,1.495361328E-3,-3.814697266E-4,5.950927734E-4
5.477731950E-1,1.403808594E-3,1.770019531E-3,-1.464843750E-3
5.528085950E-1,2.395629883E-3,4.928588867E-3,3.509521484E-4
5.578439960E-1,3.463745117E-3,3.143310547E-3,-5.035400391E-4
5.628793960E-1,3.540039062E-3,9.918212891E-4,-1.586914062E-3
5.679147960E-1,1.495361328E-3,8.850097656E-4,-2.655029297E-3
5.729501970E-1,2.426147461E-3,8.850097656E-4,-1.678466797E-3
5.779855970E-1,4.547119141E-3,-1.678466797E-4,4.425048828E-4
5.830209980E-1,4.608154297E-3,1.907348633E-3,-5.493164062E-4
5.880563980E-1,3.540039062E-3,1.953125000E-3,-5.798339844E-4
5.930917980E-1,2.471923828E-3,-1.251220703E-3,-5.798339844E-4
5.981271990E-1,1.403808594E-3,-2.319335938E-3,-5.798339844E-4
6.031625990E-1,2.502441406E-3,-2.288818359E-3,-1.647949219E-3
6.081980000E-1,4.562377930E-3,-1.525878906E-4,-1.647949219E-3
6.132334000E-1,3.570556641E-3,8.850097656E-4,-1.724243164E-3
6.182688000E-1,4.653930664E-3,7.781982422E-4,-3.829956055E-3
6.233042010E-1,5.722045898E-3,-1.495361328E-3,-4.959106445E-3
6.283396010E-1,6.744384766E-3,-5.462646484E-3,-7.049560547E-3
6.333750020E-1,6.652832031E-3,-4.302978516E-3,-8.056640625E-3
6.384104020E-1,5.584716797E-3,-2.243041992E-3,-8.056640625E-3
6.434458020E-1,4.699707031E-3,-1.449584961E-3,-8.148193359E-3
6.484812030E-1,5.874633789E-3,-3.601074219E-3,-8.911132812E-3
6.535166030E-1,7.919311523E-3,-5.416870117E-3,-7.095336914E-3
6.585520030E-1,8.743286133E-3,-3.967285156E-3,-8.056640625E-3
6.635874040E-1,7.812500000E-3,-6.103515625E-5,-8.316040039E-3
6.686228040E-1,7.949829102E-3,4.425048828E-4,-9.902954102E-3
6.736582050E-1,9.017944336E-3,-2.471923828E-3,-8.056640625E-3
6.786936050E-1,9.780883789E-3,-3.555297852E-3,-8.209228516E-3
6.837290050E-1,8.880615234E-3,-4.806518555E-3,-9.292602539E-3
6.887644060E-1,9.048461914E-3,-6.591796875E-3,-1.019287109E-2
6.937998060E-1,9.750366211E-3,-6.408691406E-3,-1.037597656E-2
6.988352070E-1,8.880615234E-3,-4.928588867E-3,-1.104736328E-2
7.038706070E-1,8.666992188E-3,-1.281738281E-3,-1.039123535E-2
7.089060070E-1,8.026123047E-3,2.578735352E-3,-1.126098633E-2
7.139414080E-1,9.323120117E-3,4.272460938E-4,-1.126098633E-2
7.189768080E-1,1.101684570E-2,-1.495361328E-3,-1.101684570E-2
7.240122090E-1,1.051330566E-2,-2.075195312E-3,-9.933471680E-3
7.290476090E-1,9.124755859E-3,-4.882812500E-4,-8.605957031E-3
7.340830090E-1,9.948730469E-3,2.731323242E-3,-6.454467773E-3
7.391184100E-1,1.020812988E-2,5.676269531E-3,-5.371093750E-3
7.441538100E-1,1.072692871E-2,6.439208984E-3,-6.698608398E-3
7.491892110E-1,1.023864746E-2,2.914428711E-3,-5.920410156E-3
7.542246110E-1,1.071166992E-2,4.119873047E-4,-6.210327148E-3
7.592600110E-1,9.628295898E-3,2.563476562E-3,-6.988525391E-3
7.642954120E-1,8.880615234E-3,4.730224609E-3,-6.652832031E-3
7.693308120E-1,9.201049805E-3,5.889892578E-3,-5.920410156E-3
7.743662120E-1,9.948730469E-3,4.470825195E-3,-6.591796875E-3
7.794016130E-1,9.948730469E-3,2.655029297E-3,-7.690429688E-3
7.844370130E-1,9.948730469E-3,2.655029297E-3,-7.339477539E-3
7.894724140E-1,9.567260742E-3,4.455566406E-3,-8.422851562E-3
7.945078140E-1,8.880615234E-3,5.157470703E-3,-8.361816406E-3
7.995432140E-1,8.880615234E-3,5.920410156E-3,-7.369995117E-3
8.045786150E-1,8.880615234E-3,8.483886719E-3,-8.056640625E-3
8.096140150E-1,9.689331055E-3,1.089477539E-2,-8.865356445E-3
