"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.104946500E1;1.378039230E1;1.144128905E2;NaN;NaN;3.440000153E1;2.541688681E0
1.895922698E1;5.104978205E1;1.377996534E1;7.888468653E1;4.865345001E0;1.239699020E2;2.994825745E1;5.489437103E1
2.097977365E1;5.104968602E1;1.378000148E1;8.710466293E1;1.626943707E0;2.724463806E2;1.172470665E1;1.751773453E1
2.201518796E1;5.104965716E1;1.378001246E1;9.839061053E1;2.295812368E0;2.552335358E2;1.159459877E1;2.153692436E1
2.302705698E1;5.104963675E1;1.378000799E1;9.854367036E1;3.035872936E0;2.262098694E2;1.956956291E1;3.168483543E1
2.404502479E1;5.104961395E1;1.377999097E1;9.869093878E1;3.289673090E0;2.163498688E2;2.083393860E1;3.114474678E1
2.500753912E1;5.104955692E1;1.378000691E1;1.081636153E2;3.296317339E0;2.158778534E2;1.043427563E1;1.331692600E1
2.606530462E1;5.104949073E1;1.378002043E1;1.163342911E2;3.101602793E0;2.228308411E2;6.464590073E0;7.552574635E0
2.746428545E1;5.104945892E1;1.377999418E1;1.166791325E2;3.471085787E0;2.132270966E2;4.488550663E0;4.661634922E0
2.846911704E1;5.104943602E1;1.377997105E1;1.163801969E2;3.791538954E0;2.079992371E2;3.804121494E0;4.052166462E0
2.939297738E1;5.104940574E1;1.377994649E1;1.159734042E2;4.143386364E0;2.117182770E2;2.912012339E0;3.332631350E0
3.039299438E1;5.104937069E1;1.377992569E1;1.162721409E2;4.319472313E0;2.189116516E2;2.601132870E0;3.000000000E0
3.139302138E1;5.104933956E1;1.377989132E1;1.162174939E2;4.414746761E0;2.193577271E2;2.481146574E0;3.000000000E0
3.239299338E1;5.104930890E1;1.377985167E1;1.162231666E2;4.541639805E0;2.185056000E2;2.428417921E0;3.000000000E0
3.339304738E1;5.104927486E1;1.377981518E1;1.163445635E2;4.590806484E0;2.175995789E2;2.304921150E0;3.000000000E0
3.439321938E1;5.104924119E1;1.377977372E1;1.162265708E2;4.576261997E0;2.169505157E2;2.274796009E0;3.000000000E0
3.539307138E1;5.104920770E1;1.377973289E1;1.162558949E2;4.738086700E0;2.172522278E2;2.270173550E0;3.000000000E0
3.639308538E1;5.104917300E1;1.377968948E1;1.163301355E2;4.768253803E0;2.210990753E2;2.317791700E0;3.000000000E0
3.739311338E1;5.104914009E1;1.377964526E1;1.164982608E2;4.711370468E0;2.219821320E2;2.308265686E0;3.000000000E0
3.839310638E1;5.104910695E1;1.377960036E1;1.164821461E2;4.631898403E0;2.248973694E2;2.291800022E0;3.000000000E0
3.939314438E1;5.104908021E1;1.377954750E1;1.162470527E2;4.608860493E0;2.323201141E2;1.977862835E0;3.000000000E0
4.039314938E1;5.104907186E1;1.377948597E1;1.162465219E2;4.240343094E0;2.535899200E2;1.708215714E0;3.000000000E0
4.139316638E1;5.104907984E1;1.377942383E1;1.158425618E2;4.183907032E0;2.806816406E2;1.559037209E0;3.000000000E0
4.239321238E1;5.104910273E1;1.377937532E1;1.156648336E2;4.245480537E0;3.081088562E2;1.480360746E0;3.000000000E0
4.339322138E1;5.104913007E1;1.377932791E1;1.155747492E2;4.418973923E0;3.134531555E2;1.403597713E0;3.000000000E0
4.439325838E1;5.104915733E1;1.377927368E1;1.156764985E2;4.783712864E0;3.098884583E2;6.700329781E0;3.000000000E0
4.539323938E1;5.104918415E1;1.377921855E1;1.156512804E2;4.616002083E0;3.073574829E2;4.342361450E0;3.000000000E0
4.639325838E1;5.104920892E1;1.377916307E1;1.155323596E2;4.964325428E0;3.045212402E2;4.200716019E0;3.000000000E0
4.739327638E1;5.104923385E1;1.377910254E1;1.155145315E2;5.152314663E0;3.036671143E2;6.077021599E0;3.000000000E0
4.839331438E1;5.104926065E1;1.377904001E1;1.154975948E2;5.199713230E0;3.049215698E2;4.200719357E0;3.000000000E0
4.939333638E1;5.104928924E1;1.377897694E1;1.154582184E2;5.413269043E0;3.048824768E2;5.489515305E0;3.000000000E0
5.039333538E1;5.104931897E1;1.377891342E1;1.154192203E2;5.505537033E0;3.063736877E2;4.177560806E0;3.000000000E0
5.139336838E1;5.104935196E1;1.377885301E1;1.154420652E2;5.556050301E0;3.099871216E2;4.145930290E0;3.000000000E0
5.239338538E1;5.104938450E1;1.377879604E1;1.153869368E2;5.677328587E0;3.108446960E2;4.731886387E0;3.000000000E0
5.339340938E1;5.104941751E1;1.377872883E1;1.152068233E2;5.650534153E0;3.101119690E2;4.821940422E0;3.000000000E0
5.439340938E1;5.104944764E1;1.377866326E1;1.151701503E2;5.750948906E0;3.067471619E2;4.958226204E0;3.000000000E0
5.539344838E1;5.104947891E1;1.377859654E1;1.149959055E2;5.779254436E0;3.072953796E2;4.774141788E0;3.000000000E0
5.639346938E1;5.104950850E1;1.377852642E1;1.149568016E2;6.089636803E0;3.053189697E2;4.736173153E0;3.000000000E0
5.739349638E1;5.104954003E1;1.377845726E1;1.148578155E2;5.868748665E0;3.071399536E2;4.634127140E0;3.000000000E0
5.839351438E1;5.104957107E1;1.377838626E1;1.147796200E2;5.810441494E0;3.057434692E2;5.489735126E0;3.000000000E0
5.939349538E1;5.104960400E1;1.377831790E1;1.146796399E2;6.150341988E0;3.085041199E2;5.240953445E0;3.000000000E0
6.039352838E1;5.104963544E1;1.377825393E1;1.145401461E2;5.930438042E0;3.075018005E2;4.864380360E0;3.000000000E0
6.139354138E1;5.104966126E1;1.377817818E1;1.143302486E2;5.752495289E0;2.927082825E2;4.790194511E0;3.000000000E0
6.239354738E1;5.104967829E1;1.377810378E1;1.140293769E2;5.845099926E0;2.722284851E2;4.684949875E0;3.000000000E0
6.339356738E1;5.104965948E1;1.377802275E1;1.137575486E2;5.554946899E0;2.443348541E2;4.795563221E0;3.000000000E0
6.439359838E1;5.104963135E1;1.377795385E1;1.137300879E2;5.490744591E0;2.250027313E2;4.642512798E0;3.000000000E0
