"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.441400100E-2;-5.917489529E-3;-1.064333133E-2;6.166267395E-2
3.245318600E-2;8.758068085E-3;3.076778539E-2;-8.413600922E-2
5.049273600E-2;8.109807968E-3;-8.026550524E-3;4.951095581E-2
6.852154500E-2;4.410445690E-3;1.037060190E-2;-4.046821594E-2
8.656854300E-2;-3.830611706E-3;-1.157946605E-2;1.111698151E-2
1.046129140E-1;-1.073408127E-2;1.050435007E-3;-2.398872375E-2
1.226494750E-1;1.603227854E-2;4.122705664E-3;6.305694580E-3
1.406918940E-1;-1.226186752E-3;1.999591244E-3;-6.801605225E-3
1.587248530E-1;4.683911800E-3;4.335600417E-3;5.496978760E-3
1.767688590E-1;6.810843945E-3;1.963956747E-3;-9.890556335E-3
1.948079840E-1;8.767366409E-3;-2.033965196E-3;-6.509780884E-3
2.128325190E-1;2.003967762E-3;8.578787558E-3;-1.055240631E-2
2.308884890E-1;-3.475904465E-3;-1.696126652E-3;5.586624146E-3
2.489218750E-1;7.855415344E-3;3.643080359E-3;-1.406669617E-2
2.669663690E-1;4.490196705E-3;-2.454973524E-3;-2.412796021E-3
2.850039670E-1;-9.376406670E-4;3.317767056E-3;-7.616043091E-3
3.030332030E-1;2.436995506E-3;-2.103014616E-3;2.652168274E-3
3.210864860E-1;-1.381635666E-3;-9.636877803E-4;-2.308845520E-3
3.391187130E-1;2.696514130E-4;2.804232296E-3;-7.612228394E-3
3.571533810E-1;3.377676010E-3;9.285146371E-5;-6.144523621E-3
3.752016600E-1;3.064036369E-3;2.492373344E-3;-8.173942566E-3
3.932424920E-1;-1.822829247E-3;-1.011926215E-3;-5.564689636E-3
4.112825320E-1;8.835196495E-4;2.714181785E-3;-1.117706299E-3
4.293159790E-1;1.186877489E-2;-4.968180787E-3;-9.205818176E-3
4.473500980E-1;-3.195106983E-3;-1.018536510E-3;6.618499756E-4
4.653970950E-1;7.482171059E-3;9.748592973E-3;-4.248619080E-3
4.834399410E-1;4.539072514E-3;1.435540733E-3;-6.767272949E-3
5.014802860E-1;5.023956299E-3;7.319508586E-4;-1.005554199E-2
5.195047000E-1;1.716673374E-3;1.841583638E-3;1.156806946E-3
5.375565800E-1;5.901694298E-3;3.178094048E-4;-7.707595825E-3
5.555969850E-1;8.107364178E-3;6.008880213E-3;-1.129531860E-2
5.736370850E-1;-7.472038269E-4;9.818002582E-5;-2.604484558E-3
5.916774290E-1;7.230997086E-3;3.220014507E-3;1.627922058E-3
6.097085570E-1;-2.502441406E-3;2.447196515E-3;-6.055831909E-4
6.277539670E-1;-2.214133739E-3;1.160767046E-3;-5.005836487E-3
6.457917480E-1;9.080886841E-3;-8.635653066E-4;-2.736091614E-3
6.638291630E-1;1.140058041E-3;3.382432973E-3;-6.923675537E-3
6.818692020E-1;7.264673710E-3;4.731125664E-4;-1.110935211E-2
6.999057010E-1;5.329132080E-3;-7.187133655E-3;-5.401611328E-3
7.179509890E-1;7.690608501E-3;2.518514171E-3;1.544952393E-4
7.359924920E-1;4.900753498E-3;-7.890593261E-4;-5.929946899E-3
7.540305790E-1;4.521310329E-3;-4.759171978E-3;-3.923416138E-3
7.720733030E-1;1.045656204E-2;6.414187141E-3;-1.780509949E-3
7.901065060E-1;6.476104259E-3;6.048023701E-3;-4.433631897E-3
8.081481930E-1;4.640221596E-3;8.873634040E-3;-9.553909302E-3
8.261895140E-1;4.460811615E-3;-6.564748473E-4;-8.534431458E-3
8.442281500E-1;3.679633141E-3;3.694735235E-3;-4.942893982E-3
8.622694700E-1;1.103442907E-2;8.406258188E-3;-3.793716431E-3
8.803085320E-1;8.394479752E-3;3.380735638E-3;-6.522178650E-3
8.983414310E-1;9.912371635E-3;-1.997388899E-4;-1.111030579E-3
9.163751220E-1;4.464745522E-3;-2.809969475E-3;-4.992485046E-3
9.344234000E-1;6.932735443E-3;-7.988248253E-4;-4.460334778E-3
9.524690550E-1;2.337098122E-3;-8.434227202E-4;-1.472473145E-3
9.705053100E-1;7.351636887E-4;2.175909234E-3;-7.342338562E-3
9.885404060E-1;2.866446972E-3;8.911073674E-4;-5.991935730E-3
1.006584228E0;9.874939919E-3;2.585693728E-4;-1.096343994E-2
1.024623230E0;8.298277855E-3;1.242606202E-3;4.507064819E-3
1.042662049E0;5.144476891E-3;-3.244526219E-3;-1.346015930E-2
1.060705077E0;8.898615837E-3;3.538255347E-3;-6.258010864E-3
1.078737610E0;1.143950224E-2;6.846964359E-3;-5.803108215E-3
1.096781982E0;-9.518861771E-5;6.258335896E-3;1.074790955E-3
1.114823548E0;3.508090973E-3;3.119537141E-3;1.180648804E-3
1.132857483E0;8.301138878E-3;2.720996272E-3;4.134178162E-3
1.150889709E0;2.679526806E-3;-3.239603247E-4;1.006126404E-3
1.168934875E0;4.772126675E-3;2.257493325E-3;-8.758544922E-3
1.186981445E0;3.833889961E-3;3.763138317E-3;-2.078056335E-3
1.205017639E0;2.409756184E-3;1.670516329E-3;-3.999710083E-3
1.223057983E0;5.247652531E-3;1.308490988E-3;-6.557464600E-3
1.241098694E0;3.348171711E-3;4.233329091E-3;-5.842208862E-3
1.259133483E0;-5.130767822E-4;2.749799751E-4;-8.052825928E-3
1.277172119E0;8.940696716E-6;-1.668670215E-3;-1.371383667E-3
1.295215149E0;-2.749562263E-3;-3.606277285E-3;-1.492500305E-3
1.313253479E0;3.515481949E-4;-2.720865887E-3;8.029937744E-4
1.331297669E0;9.148120880E-4;2.437032992E-3;-5.903244019E-3
1.349329895E0;-7.222890854E-4;-3.591516288E-4;-6.469726562E-3
1.367370361E0;4.189908504E-3;-1.309851650E-4;-1.196861267E-3
1.385412659E0;2.537071705E-3;2.276649931E-3;-8.042335510E-3
1.403452758E0;3.134131432E-3;2.976820106E-4;-8.372306824E-3
