"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
0.000000000E0;5.106165490E1;1.375979290E1;1.190299781E2;NaN;NaN;5.076599884E1;1.242851734E1
0.000000000E0;5.106173610E1;1.375974290E1;1.158301677E2;NaN;NaN;2.071999931E1;1.900103927E0
7.544105680E-1;5.106171660E1;1.375974120E1;1.158301115E2;NaN;NaN;2.132099915E1;1.784938574E0
1.388699464E0;5.106171660E1;1.375974120E1;1.158301115E2;NaN;NaN;2.575899887E1;2.672538519E0
3.062918906E0;5.106162877E1;1.375956905E1;1.165597511E2;2.881577730E0;2.218511200E2;9.012184143E0;1.334825802E1
4.079553632E0;5.106164457E1;1.375951765E1;1.170542736E2;3.042740583E0;2.155083923E2;9.599371910E0;1.649075508E1
5.102576866E0;5.106163537E1;1.375947166E1;1.162818362E2;3.073744535E0;2.118751831E2;7.842639923E0;1.385686588E1
6.081649051E0;5.106161108E1;1.375944557E1;1.159660998E2;3.270250797E0;2.137530975E2;6.516292572E0;9.754813194E0
7.118931563E0;5.106158641E1;1.375941841E1;1.159534939E2;3.708959341E0;2.196085663E2;3.466736984E1;5.887439728E1
8.092773930E0;5.106156138E1;1.375935537E1;1.120762536E2;3.780207396E0;2.183753967E2;5.474757195E0;7.200638771E0
9.137498865E0;5.106153955E1;1.375930333E1;1.139774021E2;3.726763010E0;2.243806458E2;3.435057163E0;4.695030212E0
1.023146648E1;5.106151406E1;1.375925239E1;1.137924020E2;4.241626740E0;2.396339569E2;2.862807512E0;3.737856627E0
1.124289930E1;5.106149488E1;1.375919324E1;1.135837104E2;4.507988930E0;2.395646210E2;2.445355415E0;3.042649746E0
1.216685757E1;5.106147292E1;1.375913172E1;1.131978924E2;4.927710533E0;2.387923431E2;2.177173138E0;3.000000000E0
1.316672557E1;5.106144588E1;1.375906353E1;1.132992869E2;5.632595062E0;2.390150604E2;2.059240341E0;3.000000000E0
1.416676357E1;5.106141742E1;1.375898670E1;1.132815277E2;6.165208817E0;2.377630615E2;1.940567732E0;3.000000000E0
1.516677457E1;5.106138643E1;1.375890915E1;1.130373431E2;6.216078758E0;2.358424988E2;1.926473737E0;3.000000000E0
1.616683257E1;5.106135388E1;1.375883294E1;1.133014835E2;6.871321678E0;2.359913483E2;1.872113705E0;3.000000000E0
1.716681757E1;5.106131837E1;1.375875216E1;1.133406621E2;6.619239807E0;2.331542511E2;1.875693321E0;3.000000000E0
1.816683357E1;5.106128200E1;1.375867776E1;1.134407962E2;6.494617939E0;2.294528503E2;1.844484329E0;3.000000000E0
1.916684757E1;5.106124292E1;1.375860809E1;1.130311291E2;6.613784790E0;2.327795715E2;4.454408169E0;3.000000000E0
2.016691957E1;5.106120593E1;1.375853116E1;1.126508825E2;6.762206078E0;2.353824463E2;6.179167747E0;3.000000000E0
2.116687557E1;5.106117092E1;1.375845358E1;1.126825236E2;6.697690487E0;2.379298096E2;5.356627464E0;3.000000000E0
2.216689757E1;5.106114157E1;1.375837159E1;1.124523493E2;6.405139923E0;2.392504272E2;4.154090405E0;3.000000000E0
2.316693557E1;5.106111026E1;1.375829084E1;1.123509952E2;6.794847965E0;2.387044830E2;4.451778889E0;3.000000000E0
2.416695057E1;5.106108036E1;1.375820981E1;1.124923053E2;6.589993954E0;2.370208435E2;4.471793175E0;3.000000000E0
2.516695757E1;5.106104920E1;1.375812811E1;1.125368166E2;6.646385193E0;2.378038330E2;4.567735672E0;3.000000000E0
2.616699457E1;5.106101459E1;1.375804859E1;1.126813594E2;6.790788651E0;2.362540283E2;4.697086334E0;3.000000000E0
2.716701457E1;5.106098208E1;1.375796810E1;1.126680838E2;6.615479946E0;2.384216614E2;4.453921318E0;3.000000000E0
2.816704557E1;5.106095097E1;1.375788805E1;1.126217406E2;6.571606159E0;2.386500549E2;4.472046852E0;3.000000000E0
2.916702457E1;5.106092102E1;1.375780486E1;1.127675672E2;6.618877888E0;2.389045258E2;4.472110748E0;3.000000000E0
3.016705957E1;5.106089022E1;1.375772425E1;1.128451021E2;6.239124298E0;2.384854279E2;4.518688202E0;3.000000000E0
3.116709957E1;5.106085891E1;1.375764585E1;1.129857618E2;6.386800289E0;2.376266785E2;5.255164623E0;3.000000000E0
3.216749557E1;5.106082879E1;1.375756791E1;1.131059422E2;6.288033009E0;2.377796478E2;4.518813133E0;3.000000000E0
3.316713357E1;5.106079835E1;1.375749229E1;1.131758440E2;5.920825958E0;2.375423431E2;4.398477554E0;3.000000000E0
3.416715157E1;5.106076676E1;1.375741878E1;1.133602216E2;6.024125576E0;2.363786469E2;4.472424507E0;3.000000000E0
3.516715157E1;5.106073378E1;1.375734622E1;1.134217976E2;5.804309845E0;2.335736694E2;4.518999100E0;3.000000000E0
3.616718457E1;5.106070188E1;1.375727335E1;1.134751490E2;6.071964741E0;2.350549469E2;4.519060135E0;3.000000000E0
3.716719157E1;5.106067287E1;1.375719551E1;1.134334171E2;6.202147007E0;2.394287567E2;4.595603466E0;3.000000000E0
3.816723557E1;5.106064234E1;1.375711978E1;1.133596575E2;6.131988049E0;2.367540283E2;4.745390415E0;3.000000000E0
3.916723257E1;5.106061032E1;1.375704404E1;1.132910194E2;6.256466389E0;2.355136871E2;5.261559010E0;3.000000000E0
4.016725957E1;5.106057850E1;1.375696862E1;1.131318876E2;6.267036438E0;2.367035370E2;4.802314281E0;3.000000000E0
4.116725457E1;5.106054695E1;1.375689110E1;1.130738504E2;6.287717819E0;2.380543518E2;5.164291382E0;3.000000000E0
4.216730057E1;5.106051425E1;1.375681534E1;1.130519880E2;6.352023602E0;2.359171600E2;6.068799019E0;3.000000000E0
4.316740357E1;5.106048494E1;1.375674474E1;1.132054767E2;6.045459747E0;2.368175201E2;4.453228474E0;3.000000000E0
4.416733957E1;5.106045461E1;1.375667792E1;1.134072598E2;6.151578903E0;2.380259705E2;4.453299046E0;3.000000000E0
4.516733357E1;5.106042062E1;1.375660136E1;1.136974712E2;5.799731255E0;2.363177490E2;4.453370094E0;3.000000000E0
4.616737657E1;5.106038449E1;1.375652620E1;1.137728904E2;5.765881062E0;2.341821289E2;4.453440666E0;3.000000000E0
4.716739157E1;5.106034890E1;1.375645048E1;1.137858110E2;5.888435364E0;2.398715668E2;4.453511715E0;3.000000000E0
4.816744157E1;5.106031866E1;1.375637043E1;1.139295659E2;6.097571373E0;2.433460083E2;4.453583241E0;3.000000000E0
4.916742057E1;5.106029044E1;1.375628251E1;1.137999533E2;6.026177406E0;2.441782532E2;4.453654289E0;3.000000000E0
5.016745257E1;5.106026131E1;1.375619807E1;1.138584148E2;5.949310780E0;2.453754425E2;4.453725338E0;3.000000000E0
5.116748057E1;5.106023382E1;1.375611101E1;1.140595807E2;6.048567772E0;2.470556488E2;4.519973278E0;3.000000000E0
5.216749057E1;5.106021046E1;1.375602351E1;1.141308886E2;6.057662487E0;2.492017975E2;5.186260223E0;3.000000000E0
5.316748257E1;5.106019047E1;1.375593910E1;1.141336257E2;6.341030598E0;2.491026306E2;4.453936577E0;3.000000000E0
5.416751757E1;5.106017224E1;1.375584924E1;1.139739527E2;6.365639687E0;2.445543823E2;4.454008102E0;3.000000000E0
5.516752857E1;5.106014344E1;1.375576612E1;1.140198532E2;6.534493923E0;2.398230743E2;4.520213127E0;3.000000000E0
5.616754257E1;5.106010988E1;1.375568068E1;1.138261000E2;6.538391113E0;2.389867096E2;4.457146168E0;3.000000000E0
5.716770957E1;5.106007473E1;1.375559530E1;1.140312337E2;6.693373680E0;2.375144196E2;4.454217911E0;3.000000000E0
5.816760657E1;5.106003623E1;1.375551493E1;1.137105740E2;6.555500031E0;2.380596924E2;4.454288006E0;3.000000000E0
5.916760457E1;5.106000196E1;1.375543266E1;1.135547522E2;6.593487263E0;2.397906799E2;4.454358101E0;3.000000000E0
6.016765157E1;5.105996988E1;1.375535584E1;1.135489274E2;6.408951759E0;2.400794525E2;4.454428196E0;3.000000000E0
6.116766257E1;5.105993810E1;1.375527437E1;1.135210155E2;6.546024799E0;2.401886292E2;4.454497337E0;3.000000000E0
6.216766357E1;5.105990152E1;1.375517736E1;1.135273991E2;6.627931118E0;2.410633850E2;4.454566956E0;3.000000000E0
6.316770557E1;5.105987001E1;1.375509470E1;1.134610954E2;6.772069931E0;2.409377899E2;4.454637051E0;3.000000000E0
6.416770257E1;5.105983628E1;1.375500941E1;1.133120598E2;6.794826508E0;2.402613831E2;4.454706192E0;3.000000000E0
6.516773257E1;5.105980235E1;1.375492118E1;1.132736193E2;6.656311035E0;2.401279297E2;4.454775333E0;3.000000000E0
6.616774157E1;5.105976857E1;1.375482848E1;1.133060788E2;6.593892574E0;2.410111237E2;4.454844475E0;3.000000000E0
6.716777657E1;5.105973572E1;1.375473955E1;1.130730581E2;6.617019653E0;2.387305145E2;4.454913139E0;3.000000000E0
6.816779357E1;5.105970460E1;1.375466009E1;1.129275939E2;6.654326439E0;2.380026093E2;4.454982758E0;3.000000000E0
6.916779957E1;5.105967230E1;1.375457827E1;1.126936088E2;6.637163639E0;2.379726410E2;4.455051899E0;3.000000000E0
7.016782457E1;5.105964084E1;1.375449676E1;1.125854590E2;6.656750679E0;2.387069397E2;4.455120087E0;3.000000000E0
7.116782957E1;5.105960777E1;1.375441460E1;1.126385272E2;6.604435921E0;2.391015320E2;4.455188751E0;3.000000000E0
7.216787657E1;5.105957443E1;1.375432909E1;1.127064200E2;6.595543861E0;2.387949982E2;4.455257416E0;3.000000000E0
7.316788057E1;5.105954325E1;1.375424407E1;1.128804183E2;6.597826958E0;2.398300934E2;4.455326080E0;3.000000000E0
7.416790257E1;5.105951374E1;1.375415687E1;1.130751059E2;6.642105103E0;2.406803741E2;4.455394268E0;3.000000000E0
7.516794257E1;5.105948166E1;1.375407396E1;1.132665671E2;6.601209164E0;2.389567566E2;5.305248260E0;3.000000000E0
7.616793357E1;5.105944667E1;1.375399268E1;1.136432074E2;6.417265892E0;2.386299286E2;4.455530643E0;3.000000000E0
7.716795457E1;5.105941338E1;1.375391337E1;1.135635528E2;6.304083347E0;2.386834412E2;4.455597878E0;3.000000000E0
7.816797057E1;5.105938146E1;1.375383356E1;1.134612910E2;6.530434132E0;2.373983917E2;4.455665588E0;3.000000000E0
7.916805157E1;5.105934631E1;1.375374799E1;1.135286589E2;6.610738277E0;2.385361023E2;4.455733776E0;3.000000000E0
8.016803357E1;5.105931452E1;1.375366751E1;1.136049906E2;6.451792240E0;2.384243317E2;4.458705902E0;3.000000000E0
8.116804857E1;5.105928314E1;1.375358660E1;1.138776010E2;6.065911293E0;2.391185608E2;4.455869198E0;3.000000000E0
8.216804957E1;5.105925667E1;1.375351548E1;1.137322237E2;5.635148525E0;2.407766876E2;4.500385284E0;3.000000000E0
8.316806557E1;5.105923350E1;1.375344853E1;1.137645547E2;5.419531822E0;2.402914429E2;5.264530182E0;3.000000000E0
8.416810357E1;5.105920956E1;1.375337834E1;1.136026502E2;5.327660084E0;2.378383026E2;4.477805614E0;3.000000000E0
8.516813657E1;5.105918516E1;1.375331151E1;1.133778189E2;4.953487396E0;2.395713654E2;4.477812290E0;3.000000000E0
8.616812957E1;5.105916360E1;1.375324720E1;1.132801632E2;4.493064880E0;2.436681671E2;4.456205368E0;3.000000000E0
8.716816857E1;5.105914619E1;1.375319991E1;1.133191661E2;3.238160133E0;2.434951172E2;4.612520218E0;3.000000000E0
8.816822957E1;5.105913860E1;1.375317519E1;1.136439383E2;1.377213597E0;2.416732635E2;4.601141453E0;3.000000000E0
8.916820557E1;5.105913551E1;1.375316480E1;1.136377582E2;6.572886705E-1;2.416732635E2;4.569682121E0;3.000000000E0
9.016821857E1;5.105914180E1;1.375315500E1;1.130720547E2;1.475790024E0;3.285832520E2;4.569706917E0;3.000000000E0
